X,Y,OBJECTID,AIC,LifeboatStationNameProper,LaunchTime,YearOfCall,LifeboatClass,LifeboatNumber,RoSType,CasualtyCategory,CasualtyTypeFull,ReasonForLaunch,OutcomeOfService,Activity,VisibilityAtIncident,WeatherAtIncident,SeaConditionsAtIncident,WeatherAtLaunch,VisibilityAtLaunch,WindDirectionAtLaunch,SeaConditionsAtLaunch,DateOfLaunch,ROSNumber,GlobalID,CreationDate,Creator,EditDate,Editor
-9.0417,53.2667,368,Waterside activity - On shore,GALWAY,02:47:00,2016,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person missing,Unsuccessful search,NOT KNOWN / NOT RELEVANT / OTHER,FAIR,CLOUDY,SLIGHT,CLOUDY,FAIR,180,SLIGHT,2016/01/31 00:00:00+00,,{624955E5-E8A1-4826-8CB6-9AFC7F2DB50E},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.97,53.27,369,Hoax and false alarm,GALWAY,14:22:00,2016,ATLANTIC 85,B-853,ILB,OTHER,Object in the sea,Marine Debris or Object,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLOUDY,CHOPPY,CLOUDY,GOOD,203,CHOPPY,2016/01/03 00:00:00+00,,{1DDE1A09-356C-4CC8-A6CD-3FB294C4DB59},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.9917,53.2383,370,Person in water,GALWAY,12:38:00,2016,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person recovery,Rendered assistance,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLOUDY,CHOPPY,CLOUDY,GOOD,338,CHOPPY,2016/01/07 00:00:00+00,,{5380CBF0-02C1-45F7-B817-6B35965F40B6},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0633,53.2583,487,Waterside activity - On shore,GALWAY,02:40:00,2016,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person in distress,Others assisted casualty,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,0,CALM,2016/02/15 00:00:00+00,,{7BAC4A4E-4E97-4F40-B347-19DB703E5FA5},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9,53.2583,657,Waterside activity - On shore,GALWAY,12:00:00,2016,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person missing,Unsuccessful search,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,225,SMOOTH,2016/01/02 00:00:00+00,,{37686FA6-0634-4EEB-856C-106046C1BC67},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.09,53.255,802,Person in distress,GALWAY,13:24:00,2016,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person missing,Unsuccessful search,SUSPECTED SELF HARM,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,203,CALM,2016/03/10 00:00:00+00,,{2ADA6193-53D2-48DD-8EA3-09D8F1D29A95},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.9917,53.2383,852,Person in distress,GALWAY,10:22:00,2016,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person missing,Unsuccessful search,SUSPECTED SELF HARM,GOOD,PART CLOUDY,CALM,PART CLOUDY,GOOD,180,CALM,2016/03/18 00:00:00+00,,{DFF5C17A-FF48-4782-A9C0-23846E08F088},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0417,53.2583,862,Person in distress,GALWAY,18:14:00,2016,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,In danger of drowning,Others assisted casualty,SUSPECTED SELF HARM,GOOD,CLEAR SKY,SMOOTH,CLEAR SKY,GOOD,0,SMOOTH,2016/03/10 00:00:00+00,,{F9541D75-5309-4680-AD46-D14F32B63E0A},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0667,53.2583,863,Hoax and false alarm,GALWAY,23:10:00,2016,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person missing,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,CALM,PART CLOUDY,GOOD,0,CALM,2016/03/10 00:00:00+00,,{0C26D55B-6946-41DB-83D4-9C3E29869F8C},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9,53.2417,1140,Hoax and false alarm,GALWAY,13:10:00,2016,ATLANTIC 85,B-853,ILB,OTHER,Object in the sea,Marine Debris or Object,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,CALM,PART CLOUDY,GOOD,90,CALM,2016/04/04 00:00:00+00,,{7101C33B-BB58-412F-8ADD-4A9BABCA1EFC},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
